,EVENT_ID,STATE,YEAR,MONTH,EVENT_TYPE,EVENT_NARRATIVE
21,259274,TEXAS,2010,10,Thunderstorm Wind,"Winds were estimated near 60 mph south of Whitehouse, Texas."
22,259276,TEXAS,2010,10,Hail,Hail was reported south of Whitehouse at FM 346 and 2493.
23,259277,LOUISIANA,2010,10,Hail,No event description
24,269187,WYOMING,2010,12,Winter Storm,COOP observer reported 38 inches of snow for event.
25,266360,MISSOURI,2010,11,Hail,No event description
26,266361,MISSOURI,2010,11,Hail,No event description
27,266362,MISSOURI,2010,11,Hail,No event description
28,266363,MISSOURI,2010,11,Hail,No event description
29,266364,MISSOURI,2010,11,Hail,No event description
30,262698,NEBRASKA,2010,11,High Wind,Gradient south winds gusted as high as 59 mph at the Lincoln Asos.
31,266902,CALIFORNIA,2010,11,High Wind,"Strong and gusty northwest to north winds were reported across northern sections of the Ventura County mountains, specifically near the Interstate 5 corridor. Sustained winds between 40 and 44 MPH were reported with gusts ranging between 60 and 69 MPH."
32,259260,ARKANSAS,2010,10,Hail,No event description
33,259261,TEXAS,2010,10,Hail,"One inch hail fell at Hwy. 43 and Interstate 20 just north of Kilgore, Texas."
34,266281,INDIANA,2010,10,Drought,"On October 19th, the U.S. Drought Monitor placed southern portions of Hancock County under a Severe (D2) Drought designation.  A countywide burn ban was also in effect.  This lasted through the end of the month of October."
35,266283,INDIANA,2010,10,Drought,"On October 12th, the U.S. Drought Monitor placed the eastern half of Daviess County under a Severe (D2) Drought designation.  A countywide burn ban was also in effect.  This lasted through the end of the month of October."
36,266284,INDIANA,2010,10,Drought,"On October 12th, the U.S. Drought Monitor placed the eastern half of Greene County under a Severe (D2) Drought designation.  A countywide burn ban was also in effect.  This lasted through the end of the month of October."
37,266285,INDIANA,2010,10,Drought,"On October 12th, the U.S. Drought Monitor placed a portion of southeastern Owen County under a Severe (D2) Drought designation.  Then it was expanded to cover most of Owen County a week later.  A countywide burn ban was also in effect.  This lasted through the end of the month of October."
38,266286,INDIANA,2010,10,Drought,"On October 12th, the U.S. Drought Monitor placed most of Morgan County under a Severe (D2) Drought designation.  Then it was expanded to cover all of Morgan County a week later.  A countywide burn ban was also in effect.  This lasted through the end of the month of October."
39,258129,ILLINOIS,2010,8,Excessive Heat,Heat index readings exceeded 105 degrees across Cass County on August 3rd and 4th.
40,258130,ILLINOIS,2010,8,Excessive Heat,Heat index readings exceeded 105 degrees across Schuyler County on August 3rd and 4th.
41,242138,VIRGINIA,2010,6,Thunderstorm Wind,Two large trees were uprooted on Keith Valley Road.
42,242140,VIRGINIA,2010,6,Thunderstorm Wind,A chimney collapsed onto an exterior portion of a church near the intersection of Ridge Street and West Main Street.
43,242692,ATLANTIC NORTH,2010,6,Marine Thunderstorm Wind,A wind gust of 37 knots was reported at Solomons Island.
44,242694,ATLANTIC NORTH,2010,6,Marine Thunderstorm Wind,A wind gust was estimated around 40 mph about 3 miles south-southeast of the Patuxent River Buoy.
45,242695,ATLANTIC NORTH,2010,6,Marine Thunderstorm Wind,A wind gust was estimated around 40 mph about 3 miles south-southeast of the Patuxent River Buoy.
46,265291,ILLINOIS,2010,11,Dense Fog,No event description
47,265292,ILLINOIS,2010,11,Dense Fog,No event description
48,265293,ILLINOIS,2010,11,Dense Fog,No event description
49,265294,ILLINOIS,2010,11,Dense Fog,No event description
50,265295,ILLINOIS,2010,11,Dense Fog,No event description
51,265296,ILLINOIS,2010,11,Dense Fog,No event description
52,248588,MARYLAND,2010,7,Flood,Flooding was reported along parts of Gwynns Falls Parkway.
53,249177,VIRGINIA,2010,7,Thunderstorm Wind,Trees were uprooted and large branches were snapped along Chestnut Lane.
54,249178,VIRGINIA,2010,7,Thunderstorm Wind,A tree twelve inches in diameter was down along Route 7 just east of the Shenandoah River Bridge.
55,249179,VIRGINIA,2010,7,Thunderstorm Wind,Thunderstorm wind damage was reported by the public. The message was relayed through the broadcast media.
56,249465,MARYLAND,2010,7,Thunderstorm Wind,A concrete grounded fence was blown down on Fenton Street between Wayne Avenue and Bonifant Avenue.
57,252787,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,Wind gusts up to 37 knots were reported at Smith Island.
58,252788,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,Wind gusts in excess of 30 knots were reported near Baltimore.
59,252789,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,Wind gusts between 36 and 64 knots were reported at Greenbury Point.
60,252860,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,A wind gust of 37 knots was measured at Annapolis.
61,252861,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,A wind gust of 39 knots was measured near Eastport.
62,252862,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,A wind gust of 34 knots was measured at Chesapeake Beach.
63,267880,NORTH CAROLINA,2010,11,Thunderstorm Wind,One tree fell onto a house on Lee Road. The tree caused minor damage to dormer on roof.
64,267881,NORTH CAROLINA,2010,11,Thunderstorm Wind,Two trees were blown down on Lindsay Road  and Pittman Grove Church Road.
65,267882,NORTH CAROLINA,2010,11,Thunderstorm Wind,Numerous trees and power-lines down just north of Nashville. Several of the downed trees were blocking roads.
66,267883,NORTH CAROLINA,2010,11,Thunderstorm Wind,One tree was blown down on Strickland Bridge Road near Fisher Road.
67,268475,NEW HAMPSHIRE,2010,11,Strong Wind,"In Rindge, a large tree and wires were downed on Bancroft Road.  A tree and wires were downed on Murdough Hill Road in Nelson."
68,268478,NEW HAMPSHIRE,2010,11,Strong Wind,A large tree and wires were downed on Route 136 in Francestown.
69,259197,TEXAS,2010,10,Thunderstorm Wind,"Trees and powerlines were downed south of Kilgore, Texas."
70,259205,TEXAS,2010,10,Hail,"Hail covered the ground in the Newsome, Texas community."
71,259206,TEXAS,2010,10,Thunderstorm Wind,"Trees were downed across SR. 11 just northeast of Leesburg, Texas."
72,268911,MICHIGAN,2010,11,Lake-Effect Snow,No event description
73,268899,GULF OF MEXICO,2010,11,Marine Thunderstorm Wind,An oil rig platform in Eugene Island Block 243 reported a wind gust of 40 mph.
74,268900,GULF OF MEXICO,2010,11,Marine Thunderstorm Wind,An oil rig platform in Eugene Island Block 258 reported a wind gust of 50 mph.
75,269045,LOUISIANA,2010,11,Tornado,An NWS Storm Survey found a weak EF0 tornado touched down northeast of the Highway 178/Christ the King Road intersection west of Bellevue. A barn received minor roof damage near the beginning of the path. Scattered trees were blown down in all directions in the Crimson Cove subdivision east of Highway 182.
76,269046,LOUISIANA,2010,11,Thunderstorm Wind,"An NWS Storm Survey found an area of minor wind damage along Montgomery Road northwest of the Bellevue community. A few trees and large tree limbs were blown down, with minor skirting and siding damage to some mobile homes."
77,269047,LOUISIANA,2010,11,Thunderstorm Wind,A storm chaser measured a wind gust of 68 mph and reported large tree limbs down. This was estimated to be in the same area as the wind damage along Montgomery Road.
78,261422,SOUTH CAROLINA,2010,9,Thunderstorm Wind,Numerous trees were blown down in the Iva area.
79,261423,SOUTH CAROLINA,2010,9,Thunderstorm Wind,Numerous trees were blown down across the eastern part of the county.
80,261425,SOUTH CAROLINA,2010,9,Thunderstorm Wind,Large limbs were blown down on the west side of Williamston.
81,261426,SOUTH CAROLINA,2010,9,Thunderstorm Wind,Several trees were blown down a little west of the town on Donalds.
82,261428,SOUTH CAROLINA,2010,9,Thunderstorm Wind,Numerous trees were blown down just east and northeast of Marietta.
83,261437,SOUTH CAROLINA,2010,9,Hail,One inch hail was reported about a mile south of Boyd Mill Pond.
84,261438,SOUTH CAROLINA,2010,9,Thunderstorm Wind,Two trees were blown down a little to the northeast of the town of Tigerville.
85,265546,LOUISIANA,2010,10,Drought,Please use the episode narrative for the event narrative.
86,265547,LOUISIANA,2010,10,Drought,Please use the episode narrative for the event narrative.
87,266908,E PACIFIC,2010,11,Marine Thunderstorm Wind,"Strong thunderstorms rolled through the Santa Barbara Channel, producing gusty southerly winds. Buoys and other observations around the Santa Barbara Channel indicated southerly winds gusting in excess of 34 knots in association with the thunderstorms."
88,266909,E PACIFIC,2010,11,Marine Thunderstorm Wind,"Strong thunderstorms continued to roll across the Santa Barbara Channel. Near the Ventura County coast, a trained weather spotter in Port Hueneme reported a wind gust of 35 knots in association with thunderstorms over the near shore waters."
89,268560,NORTH CAROLINA,2010,11,Heavy Snow,No event description
90,268561,NORTH CAROLINA,2010,11,Heavy Snow,No event description
91,268747,NORTH CAROLINA,2010,11,Thunderstorm Wind,The tops were blown out of several trees a little to the west of Sawmills.
92,259262,TEXAS,2010,10,Hail,No event description
93,259283,TEXAS,2010,10,Hail,No event description
94,259281,LOUISIANA,2010,10,Hail,No event description
95,258131,ILLINOIS,2010,8,Excessive Heat,Heat index readings exceeded 105 degrees across Scott County on August 3rd and 4th.
96,258132,ILLINOIS,2010,8,Excessive Heat,Heat index readings exceeded 105 degrees across Morgan County on August 3rd and 4th.
97,258133,ILLINOIS,2010,8,Excessive Heat,Heat index readings exceeded 105 degrees across Mason County on August 3rd and 4th.
98,258134,ILLINOIS,2010,8,Excessive Heat,Heat index readings exceeded 105 degrees across Menard County on August 3rd and 4th.
99,242698,ATLANTIC NORTH,2010,6,Marine Thunderstorm Wind,A wind gust around 50 knots was reported about two miles north of Cambridge.
100,242858,LOUISIANA,2010,8,Thunderstorm Wind,"Trees and powerlines were downed in the Weldon, Louisiana community."
101,248306,VIRGINIA,2010,7,Thunderstorm Wind,Crums Church Road at Route 7 was impassable due to large branches over the roadway.
102,248307,VIRGINIA,2010,7,Thunderstorm Wind,A tree along with power lines and branches were down along Marsh Road and Old Charles Road.
103,248308,VIRGINIA,2010,7,Thunderstorm Wind,Numerous trees were down along roadways in the vicinity of Route 340.
104,249468,MARYLAND,2010,7,Thunderstorm Wind,A tree six inches in diameter was down across the intersection of Route 193 and 320.
105,249475,MARYLAND,2010,7,Thunderstorm Wind,A tree was down over the road and several branches were down.
106,249476,MARYLAND,2010,7,Thunderstorm Wind,Numerous trees were damaged with some wires down. Wind speeds were estimated around 70 mph.
107,249477,MARYLAND,2010,7,Thunderstorm Wind,A tree fell down onto a minivan along Rhode Island Avenue and Odessa Road.
108,251267,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,Wind gusts up to 40 knots were reported at Greenbury Point.
109,258147,ILLINOIS,2010,8,Excessive Heat,Heat index readings exceeded 105 degrees across Edgar County on August 3rd and 4th.
110,258148,ILLINOIS,2010,8,Excessive Heat,Heat index readings exceeded 105 degrees across Cumberland County on August 3rd and 4th.
111,258149,ILLINOIS,2010,8,Excessive Heat,Heat index readings exceeded 105 degrees across Clark County on August 3rd and 4th.
112,258150,ILLINOIS,2010,8,Excessive Heat,Heat index readings exceeded 105 degrees across Effingham County on August 3rd and 4th.
113,258151,ILLINOIS,2010,8,Excessive Heat,Heat index readings exceeded 105 degrees across Jasper County on August 3rd and 4th.
114,268496,RHODE ISLAND,2010,11,High Wind,"The Automated Surface Observing System at T.F. Green State Airport in Warwick, RI (KPVD) recorded sustained wind speeds of 41 mph.  No damage was reported."
115,267531,MICHIGAN,2010,11,Winter Weather,Total snowfall amounts ending late afternoon on the 23rd included 8 inches at Bessemer and 7 inches near Wakefield.
116,267532,MICHIGAN,2010,11,Winter Weather,Observers measured 4 to 6 inches of total snowfall throughout much of Ontonagon County.
117,267534,MICHIGAN,2010,11,Winter Weather,The observer at Herman measured a storm total of four inches of snow.
118,267535,MICHIGAN,2010,11,Winter Weather,Observers throughout northern Houghton County measured four to seven inches of storm total snowfall.
119,267644,MICHIGAN,2010,11,Winter Weather,The observer four miles east of Silver City measured five inches of snow in 12 hours.
120,267646,MICHIGAN,2010,11,Winter Weather,The observer near Ahmeek measured 4.3 inches of snow in less than 12 hours.
121,259207,TEXAS,2010,10,Hail,Half dollar sized hail fell at Hwy. 3122 and 115.
122,259222,TEXAS,2010,10,Thunderstorm Wind,Powerlines were downed in Kings Highway about one mile south of Hwy. 59 just outside of the Texarkana city limits.
123,256319,TEXAS,2010,10,Hail,No event description
124,256320,TEXAS,2010,10,Hail,No event description
125,256321,TEXAS,2010,10,Thunderstorm Wind,Trees were downed near Hwy. 1970 and the Shelby County Texas line.
126,259187,LOUISIANA,2010,10,Thunderstorm Wind,"Several trees were blown down in the community of Clarence, Louisiana."
127,268756,NORTH CAROLINA,2010,11,Thunderstorm Wind,"A power pole and lines were blown down, and a couple trees and some large limbs blown down in the Mocksville area."
128,268809,NORTH CAROLINA,2010,11,Flash Flood,"Very heavy rainfall resulted in flooding of many of the major streams across the southern half of Transylvania County. Flooding first began along the Little River east of Brevard, with Cascade Lake Rd under water in several spots. Wilson Rd was also flooded northeast of Brevard."
129,268812,NORTH CAROLINA,2010,11,Flash Flood,"As the afternoon progressed, flooding expanded to include the upper reaches of the French Broad River. Low water crossings at Island Ford Rd and Green Rd were flooded first, but by evening, water was entering buildings near the town center of Rosman. The stream gauge on the river at Rosman exceeded established flood stage by more than a foot before water began retreating during the evening. Flooding also continued to worsen along the Little River during this time, while expanding to include the Davidson River and other streams by evening."
130,268817,SOUTH CAROLINA,2010,11,Thunderstorm Wind,Trees were blown down on Old Greenville Highway and Bishop Branch Rd on the east side of Pendleton.
131,268818,SOUTH CAROLINA,2010,11,Thunderstorm Wind,"A tree was blown down on Little Creek Road, about 5 miles north of Anderson."
132,261869,NORTH CAROLINA,2010,9,Lightning,No event description
133,266773,WYOMING,2010,12,High Wind,WYDOT sensor at Arlington recorded sustained winds in excess of 40 mph for a few hours.
134,266774,WYOMING,2010,12,High Wind,WYDOT sensor at Vedauwoo recorded sustained winds in excess of 40 mph for a couple of hours.
135,266798,WYOMING,2010,12,High Wind,WYDOT sensor at Arlington measured a gust of 58 mph.
136,266799,WYOMING,2010,12,High Wind,WYDOT sensor at Arlington recorded a gust of 58 mph.
137,266800,WYOMING,2010,12,High Wind,WYDOT sensor at Arlington recorded a gust of 60 mph.
138,266801,WYOMING,2010,12,High Wind,UP railroad sensor at Emkay recorded a gust of 64 mph.
139,266802,WYOMING,2010,12,High Wind,WYDOT sensor at Arlington recorded a gust of 60 mph.
140,266803,WYOMING,2010,12,High Wind,WYDOT sensor at Arlington measured a gust of 58 mph.
141,265548,LOUISIANA,2010,10,Drought,Please use the episode narrative for the event narrative.
142,263496,LOUISIANA,2010,11,Thunderstorm Wind,"Powerlines were downed at Walkerville Road and Hwy. 191 south near the community of Negreet, Louisiana."
143,263497,TEXAS,2010,11,Hail,Dime size hail was reported at Hwy. 59 and 2148.
144,266649,WASHINGTON,2010,11,High Wind,Strong winds were reported at Cape Disappointment with wind gusting to 51 kts. Strong wind was also reported at Toke Point with sustained wind of 38 kts.
145,269456,IOWA,2010,11,Winter Weather,"Freezing drizzle and light freezing rain produced little ice accumulation, but made driving and walking surfaces slippery, causing several vehicles to slide off roads."
146,269457,IOWA,2010,11,Winter Weather,"Freezing drizzle and light freezing rain produced little ice accumulation, but made driving and walking surfaces slippery, causing several vehicles to slide off roads."
147,269458,IOWA,2010,11,Winter Weather,"Freezing drizzle and light freezing rain produced little ice accumulation, but made driving and walking surfaces slippery, causing several vehicles to slide off roads."
148,269459,MINNESOTA,2010,11,Winter Weather,"Freezing drizzle and light freezing rain produced little ice accumulation, but made driving and walking surfaces slippery, causing several vehicles to slide off roads."
149,269460,MINNESOTA,2010,11,Winter Weather,"Freezing drizzle and light freezing rain produced little ice accumulation, but made driving and walking surfaces slippery, causing several vehicles to slide off roads."
150,269461,MINNESOTA,2010,11,Winter Weather,"Freezing drizzle and light freezing rain produced little ice accumulation, but made driving and walking surfaces slippery, causing several vehicles to slide off roads."
151,259285,LOUISIANA,2010,10,Hail,No event description
152,265552,LOUISIANA,2010,10,Drought,Please use the episode narrative for the event narrative.
153,265553,LOUISIANA,2010,10,Drought,Please use the episode narrative for the event narrative.
154,266270,TEXAS,2010,12,Frost/Freeze,"The cooperative observer at Raymondville reported a minimum temperature of 29 degrees early on December 26th.  The nearby Remote Automated Weather Station at the Lower Rio Grande Valley National Wildlife Refuge near San Manuel (less than 10 miles west of the County line) dropped to 25 degrees, with more than four hours of freezing temperatures on the 26th.  reaching 33 degrees.||The combination of Raymondville's low temperature, proxy observations from the King Ranch and San Manuel, and the likelihood that more than half of the area of inland Willacy County reached freezing temperatures for several hours argues for a freeze event."
155,266272,TEXAS,2010,12,Frost/Freeze,"The coldest recorded temperatures of the 2010/2011 winter so far occurred in western Cameron County on the 26th. While minimum temperatures fell just shy of the freezing point in Brownsville and Harlingen (36 at Brownsville and 33 degrees at Harlingen), proxy observations from western Willacy County and eastern Hidalgo County, each where temperatures fell to or below 32 degrees for several hours, argue that locations west of Federal Highway 77 in Cameron County, an area covering half of the inland zone, did likewise.||The combination of Raymondville's low temperature, proxy observations from the King Ranch and San Manuel, and the likelihood that more than half of the area of inland Willacy County reached freezing temperatures for several hours argues for a freeze event."
156,248309,VIRGINIA,2010,7,Thunderstorm Wind,Three Hardwood trees were uprooted by thunderstorm winds.
157,248582,MARYLAND,2010,7,Flood,Flooding was reported along parts of Fulton Avenue.
158,248584,MARYLAND,2010,7,Flood,Flooding was reported along portions of Uplands Parkway.
159,249455,MARYLAND,2010,7,Thunderstorm Wind,The entrance ramp to Interstate 495 from River Road was closed due to a tree blocking the road.
160,249456,MARYLAND,2010,7,Thunderstorm Wind,Three very large trees were down on Aspen Hill Road.
161,252759,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,A wind gust in excess of 30 knots was reported at Tolly Point.
162,252766,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,A wind gust in excess of 30 knots was reported at Tolchester Beach.
163,252769,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,A wind gust in excess of 30 knots was reported at Point Lookout.
164,252771,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,A wind gust in excess of 30 knots was reported at Bishops Head.
165,252772,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,A wind gust of 36 knots was reported at Bishops Head.
166,252774,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,Wind gusts up to 40 knots were reported near Patuxent River.
167,268675,OREGON,2010,11,Winter Storm,"The Parkdale Agrimet site reported  10 inches of new snow between 20:00 PST on November 29th and 16:00 PST on November 30th. Other heavy snow reports were 11 inches of new snow reported at Middle Mountain RAWS and 8 inches of new snow reported by trained spotter HR-20 from Hood River Heights, Oregon."
168,219461,CALIFORNIA,2010,3,Funnel Cloud,The observer at John Wayne Airport (KSNA) spotted a funnel cloud about 3 miles south of the airport between 0947 PST and 0950 PST. A second funnel cloud was spotted over the water 10 minutes later. A police helicopter spotted 5 funnel clouds over the water about 0.5 to 2 miles off the coast of Crystal Cove around the same time.
169,242415,ALABAMA,2010,6,Thunderstorm Wind,"Two trees were knocked down along CR 581.  Lightning also struck a houseboat on CR 581, but damages were not specified."
170,242416,ALABAMA,2010,6,Thunderstorm Wind,A tree was knocked down on CR 606.
171,242605,TENNESSEE,2010,6,Thunderstorm Wind,Trees were blown down on  Highway 55 in the Motlow College area.
172,259223,ARKANSAS,2010,10,Thunderstorm Wind,"A roof was blown off a home and major tree damage was reported around a home on Lafayette County Road 41 south of Stamps, Arkansas."
173,259239,TEXAS,2010,10,Hail,No event description
174,259241,TEXAS,2010,10,Funnel Cloud,"A funnel cloud was spotted just north of Omaha, Texas."
175,259198,TEXAS,2010,10,Thunderstorm Wind,"The estimated wind gust was reported 7 miles south of Texarkana, Texas."
176,259199,TEXAS,2010,10,Thunderstorm Wind,Trees were downed on FM Road 829.
177,259200,TEXAS,2010,10,Hail,No event description
178,259201,TEXAS,2010,10,Thunderstorm Wind,"Trees were downed on Lafayette Street in Marshall, Texas."
179,268823,SOUTH CAROLINA,2010,11,Thunderstorm Wind,Two trees were blown down on Parsons Mountain Rd.
180,266804,WYOMING,2010,12,High Wind,WYDOT sensor at Bordeaux recorded a gust of 58 mph.
181,266978,WYOMING,2010,12,High Wind,WYDOT sensor at Arlington recorded sustained winds in excess of 40 mph between 336 and 541 AM with a peak gust during this period of 71 mph at 446 AM.
182,266980,WYOMING,2010,12,High Wind,WYDOT sensor at Bordeaux recorded strong winds with several gusts to 60 mph between 1225 and 1445 PM.
183,266981,WYOMING,2010,12,High Wind,The ASOS at Rawlins recorded a peak gust of 58 mph at 919 AM.
184,268072,WYOMING,2010,12,Blizzard,ASOS reported visibilities of 1/2 mile and winds gusting over 35 mph. Law enforcement reported blizzard conditions. Total snowfall over 6 inches.
185,268074,WYOMING,2010,12,Blizzard,"Law enforcement reported blizzard conditions between Douglas, WY and Harrison, NE across Niobrara County."
186,268077,WYOMING,2010,12,Blizzard,WYDOT cameras at Bordeaux showed zero visibility with blizzard conditions verified by law enforcement. Sensor recorded gusts of 35 mph.
187,266658,OREGON,2010,11,High Wind,"Strong winds, with sustained winds of 45 kt and gusts to 57 kt, were reported at Garibaldi NOS. Other strong winds reported were sustained winds of 43 kt with gusts to 54 kt at Cannon Beach, sustained winds of 43 kts at Clatsop Spit and gusts to 54 kts at Cape Meares."
188,266671,WASHINGTON,2010,11,High Wind,Strong winds were reported at Cape Disappointment with sustained winds of 39 kts.
189,266672,OREGON,2010,11,High Wind,Strong winds were reported at Clatsop Spit with sustained winds of 36 kts and at Garibaldi NOS with sustained winds of 39 kts.
190,266673,OREGON,2010,11,High Wind,Strong winds were reported at the Newport C-MAN station with sustained winds of 39 kts. Strong winds were also reported at Waldport and Yaquina Bridge with sustained winds of 39 kts and gusts to 50 kts.
191,268803,IDAHO,2010,11,High Wind,KBOI News reported trees and power lines down in Star and Middleton.
192,268806,IDAHO,2010,11,High Wind,Bearskin Creek RAWS reported a gust of 63 MPH and Forest Service employees reported downed trees.
193,268808,IDAHO,2010,11,High Wind,"Winds were sustained around 40 MPH for 3 hours and caused a vehicle rollover near I-84 and State Highway 93, as well as downed trees."
194,259236,TEXAS,2010,10,Funnel Cloud,"A funnel cloud was spotted nearly to tree top level by the local fire station in Mount Pleasant, Texas."
195,259237,TEXAS,2010,10,Hail,No event description
196,269499,MINNESOTA,2010,11,Winter Weather,"Snowfall of 1 to 5 inches, including 4.5 inches at Luverne, was accompanied by sustained winds of 30 mph with gusts to 40 mph. This produced drifting snow and areas of blowing snow, making travel difficult at times. Wind chills were driven below zero. One man froze to death after becoming stranded and leaving his vehicle."
197,265244,TENNESSEE,2010,11,High Wind,Numerous road closures were reported due to fallen trees.
198,265245,TENNESSEE,2010,11,High Wind,A few trees were reported down across the county.
199,265246,TENNESSEE,2010,11,High Wind,A few trees were reported down across the county.
200,265247,TENNESSEE,2010,11,High Wind,A few trees...power lines and large limbs were reported down across the county.
201,265248,TENNESSEE,2010,11,High Wind,A few trees were reported down along Highway 411 near English Mountain.
202,265554,LOUISIANA,2010,10,Drought,Please use the episode narrative for the event narrative.
203,268508,OREGON,2010,11,Heavy Snow,"The Tombstone ODOT site measured 37 inches of new snow between 15:00 PST on November 21st and 22:00 PST on November 22nd. Other reports of heavy snow were 33 inches at the Santiam Pass ODOT site, 31 inches at the Blue Box Pass ODOT site, 28 inches at the Red Hill SNOTEL, 26 inches at the Mt. Hood Meadows Avalanche site, 25 inches at Little Meadows SNOTEL, 24 inches at the Jumpoff Joe SNOTEL, 23 inches at Government Camp and the Clackamas Lake SNOTEL sites, 22 inches at the Peavine Ridge SNOTEL and 21 inches at the Daly Lake SNOTEL."
204,268510,OREGON,2010,11,Heavy Snow,The Marion Forks SNOTEL site measured 23 inches of new snow between 15:00 PST on November 21st and 22:00 PST on November 22nd. The South Fork Bull Run SNOTEL site measured 20 inches of new snow between 12:00 PST on November 21st and 17:00 PST on November 22nd.
205,268514,OREGON,2010,11,Heavy Snow,"The McKenzie SNOTEL site measured  33 inches of new snow between 14:00 PST on November 21st and 00:00 PST on November 23rd. Other reports of heavy snow were 33 inches at the Roaring River SNOTEL, 32 inches at the Cascade Summit SNOTEL, 26 inches at the Holland Meadows SNOTEL and 21 inches at the Summit Lake SNOTEL."
206,249458,MARYLAND,2010,7,Thunderstorm Wind,Large tree limbs were down.
207,249460,MARYLAND,2010,7,Thunderstorm Wind,A tree one foot diameter was down at the 6100 Block of Selvan Road in Bethesda.
208,249461,MARYLAND,2010,7,Thunderstorm Wind,Trees were down near Aspen Hill.
209,249462,MARYLAND,2010,7,Thunderstorm Wind,Trees were blocking the exit off the Capital Beltway onto Connecticut Avenue.
210,251250,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,A wind gust of 46 knots was reported at Quantico.
211,252853,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,Wind gusts between 34 and 38 knots were measured near Fells Point.
212,252854,ATLANTIC NORTH,2010,7,Marine Thunderstorm Wind,Wind gusts up to 40 knots were reported at the Patapsco Buoy.
